vendor,live_start,pre,post,gap,flagged,testable,true_ic,kind
vendor_00,-1,,,,False,False,0.03,REAL
vendor_01,-1,,,,False,False,0.025,REAL
vendor_02,811,2.3666624933544287,0.35401966777204263,2.012642825582386,True,True,0.02,REAL
vendor_03,-1,,,,False,False,0.015,REAL
vendor_04,-1,,,,False,False,0.01,REAL
vendor_05,-1,,,,False,False,0.0,fake
vendor_06,985,2.8025817412720393,0.8777927303195157,1.9247890109525236,True,True,0.0,fake
vendor_07,-1,,,,False,False,0.0,fake
vendor_08,909,2.7941003455050066,0.3685894327311771,2.4255109127738295,True,True,0.0,fake
vendor_09,-1,,,,False,False,0.0,fake
vendor_10,862,3.1211024748133642,0.4046323761831137,2.7164700986302504,True,True,0.0,fake
vendor_11,-1,,,,False,False,0.0,fake
vendor_12,-1,,,,False,False,0.0,fake
vendor_13,-1,,,,False,False,0.0,fake
vendor_14,-1,,,,False,False,0.0,fake
vendor_15,-1,,,,False,False,0.0,fake
vendor_16,832,2.707326878873179,0.36187524139808214,2.3454516374750964,True,True,0.0,fake
vendor_17,-1,,,,False,False,0.0,fake
vendor_18,-1,,,,False,False,0.0,fake
vendor_19,1132,2.9222084202871734,0.16798480910800795,2.7542236111791656,True,True,0.0,fake
vendor_20,-1,,,,False,False,0.0,fake
vendor_21,1095,2.2734732380235085,-0.8058452694234455,3.079318507446954,True,True,0.0,fake
vendor_22,789,3.2483365325423916,0.6797689497653173,2.5685675827770744,True,True,0.0,fake
vendor_23,-1,,,,False,False,0.0,fake
vendor_24,-1,,,,False,False,0.0,fake
vendor_25,1074,2.6281138708655085,-1.2211274370459662,3.8492413079114747,True,True,0.0,fake
vendor_26,-1,,,,False,False,0.0,fake
vendor_27,-1,,,,False,False,0.0,fake
vendor_28,-1,,,,False,False,0.0,fake
vendor_29,-1,,,,False,False,0.0,fake
