seed,n_backfilled,caught,caught_rate,false_flags,threshold
0,9,4,0.4444444444444444,0,1.6554375533491106
1,9,7,0.7777777777777778,0,1.4736940158779352
2,9,8,0.8888888888888888,0,0.9889246303785344
3,9,8,0.8888888888888888,0,1.2968875623978184
4,9,2,0.2222222222222222,0,2.1760208224228137
5,9,8,0.8888888888888888,0,1.5476466361687518
6,9,7,0.7777777777777778,0,1.3590345866080316
7,9,5,0.5555555555555556,0,1.0758500532905628
8,9,8,0.8888888888888888,0,1.9791810449602552
9,9,6,0.6666666666666666,0,1.7274489319027633
10,9,6,0.6666666666666666,0,1.8301020175026326
11,9,7,0.7777777777777778,0,1.4113215637651737
12,9,6,0.6666666666666666,0,1.632762084388368
13,9,7,0.7777777777777778,0,1.1707964801869706
14,9,8,0.8888888888888888,0,1.3622786843199435
15,9,7,0.7777777777777778,0,1.6824452395305085
16,9,2,0.2222222222222222,0,1.8636014106732408
17,9,7,0.7777777777777778,0,1.814836658156091
18,9,8,0.8888888888888888,0,1.6949448799215079
19,9,8,0.8888888888888888,0,1.600923111481666
20,9,7,0.7777777777777778,0,1.229516454249709
21,9,4,0.4444444444444444,0,1.378131012095961
22,9,7,0.7777777777777778,0,1.2738000137611962
23,9,8,0.8888888888888888,0,1.9407547985089733
24,9,6,0.6666666666666666,0,1.3687961340307517
25,9,6,0.6666666666666666,0,1.8086392915370388
26,9,8,0.8888888888888888,0,1.700112314380905
27,9,6,0.6666666666666666,0,1.4759586537830527
28,9,8,0.8888888888888888,0,1.218909339770012
29,9,7,0.7777777777777778,0,1.4959839045369798
