vendor,kind,accuracy_r2,incremental_r2,sharpe,t_stat
vendor_00,genuine,0.35748909141694407,0.11355697883949278,0.8397189430204275,2.00800907143994
vendor_01,genuine,0.16328211890412253,0.0450090983184559,-0.10909008881810245,-0.2608657215270296
vendor_02,genuine,0.06500895390260232,0.016596762994390724,-0.5293458801472761,-1.2658179717153675
vendor_03,genuine,0.022059083536701274,0.00529932397561661,-0.7761167267715845,-1.8559179125433916
vendor_04,mirror,0.436147845021554,0.0003341940211841754,-0.10555187086718767,-0.25240482660352936
vendor_05,mirror,0.32110439737282986,4.5566820359388416e-05,0.006513722651056702,0.015576180912531217
vendor_06,junk,5.67312578220148e-05,0.00017058080300180745,-0.4831434154149842,-1.155334614067606
vendor_07,junk,4.43229916330375e-05,1.8920593608973135e-05,-0.4943109129984968,-1.18203930691676
vendor_08,junk,2.4959356757399287e-05,6.59976674988183e-06,-0.6634123986858599,-1.5864095072993134
vendor_09,junk,6.758790574636988e-05,4.5416571625711555e-07,-1.166630075328693,-2.7897474431724096
vendor_10,junk,0.00039261921976926374,9.664906575901355e-05,-0.6903121809705287,-1.6507346095211177
vendor_11,junk,3.839730003096624e-05,3.6364976585545605e-08,-0.8795459910516732,-2.1032469774085207
vendor_12,junk,9.808780452850393e-05,2.6010148112876053e-05,-0.32006066541635464,-0.7653569386626417
vendor_13,junk,2.0254718649610015e-05,1.853399772000497e-05,-0.15150800470659742,-0.36229913636616845
