rule,family,seed,n_bought,precision,recall,n_fake_bought,holdout_bought,holdout_rejected
bh_0.1,bh,0,1,1.0,0.2,0,1.383110147252135,0.09994320506796334
bh_0.2,bh,0,4,0.75,0.6,1,1.0686855018129662,0.00025850334504641753
bh_0.4,bh,0,6,0.5,0.6,3,0.5471608535321717,0.04160408220958506
fixed_0.01,fixed,0,2,0.5,0.2,1,1.1150852011371506,0.07326045328388467
fixed_0.025,fixed,0,4,0.75,0.6,1,1.0686855018129662,0.00025850334504641753
fixed_0.05,fixed,0,4,0.75,0.6,1,1.0686855018129662,0.00025850334504641753
fixed_0.1,fixed,0,6,0.5,0.6,3,0.5471608535321717,0.04160408220958506
topk_2,topk,0,2,0.5,0.2,1,1.1150852011371506,0.07326045328388467
topk_3,topk,0,3,0.6666666666666666,0.4,1,1.5025333871928936,-0.008375446939096627
topk_5,topk,0,5,0.6,0.6,2,0.6570594287459082,0.03984663801974124
fixed_be_0.05,fixed_be,0,2,0.5,0.2,1,1.1150852011371506,0.07326045328388467
fixed_be_0.1,fixed_be,0,4,0.25,0.2,3,0.30959837905386667,0.1170411376156771
bh_0.1,bh,1,2,1.0,0.4,0,1.527849035311338,0.10932035798821385
bh_0.2,bh,1,3,1.0,0.6,0,0.7079704289095611,0.14787988176162892
bh_0.4,bh,1,7,0.5714285714285714,0.8,3,0.67213690702082,0.06137868457160543
fixed_0.01,fixed,1,2,1.0,0.4,0,1.527849035311338,0.10932035798821385
fixed_0.025,fixed,1,3,1.0,0.6,0,0.7079704289095611,0.14787988176162892
fixed_0.05,fixed,1,4,0.75,0.6,1,0.5660152548490945,0.14817719518831868
fixed_0.1,fixed,1,7,0.5714285714285714,0.8,3,0.67213690702082,0.06137868457160543
topk_2,topk,1,2,1.0,0.4,0,1.527849035311338,0.10932035798821385
topk_3,topk,1,3,1.0,0.6,0,0.7079704289095611,0.14787988176162892
topk_5,topk,1,5,0.6,0.6,2,0.8044407773210537,0.08377856830749582
fixed_be_0.05,fixed_be,1,2,1.0,0.4,0,1.527849035311338,0.10932035798821385
fixed_be_0.1,fixed_be,1,3,1.0,0.6,0,0.9743985126231949,0.11827676134900296
bh_0.1,bh,2,1,1.0,0.2,0,2.8314379006253394,0.03654858522585412
