vendor,live_start,days_used,days_discarded,gross_sharpe,net_sharpe,p_value,turnover,breakeven_bps,holdout_sharpe,pass_significance,pass_economics,buy,true_ic,kind
vendor_01,-1,1249,0,2.0681325741954146,1.7031769831020462,4.813244038559539e-06,45.156376092930124,56.566071068907235,1.261740088745931,True,True,True,0.025,REAL
vendor_00,-1,1249,0,1.072341321966468,0.7199676646667323,0.008378202548351865,40.396125792589956,30.441546251540164,0.7054549008507766,False,False,False,0.03,REAL
vendor_03,-1,1249,0,0.9557980117667151,0.5226729430584529,0.02273781917458384,51.434763334206075,22.073387306753833,1.3142610124869938,False,False,False,0.015,REAL
vendor_10,862,387,862,1.2674479166414263,0.8492746100280819,0.06282401788672054,47.19590202762079,30.28224694406214,-0.1460423282947349,False,False,False,0.0,fake
vendor_27,-1,1249,0,0.6839291519233437,0.2759130142495804,0.06672847336809384,48.144799309914106,16.762133635454735,-0.9148083487050296,False,False,False,0.0,fake
vendor_22,789,460,789,0.7526990128570235,0.31705045117770975,0.17202323384322438,48.14273556893804,17.277823434751216,-1.356516228178164,False,False,False,0.0,fake
vendor_12,-1,1249,0,0.4206151108179399,0.01362311508427098,0.18158727192595436,48.41955116508837,10.334798012903246,-0.8881887998801542,False,False,False,0.0,fake
vendor_13,-1,1249,0,0.3835329908222719,-0.06323116695893842,0.21565940286310537,50.831973699574895,8.584649462609928,0.6032717778445548,False,False,False,0.0,fake
vendor_05,-1,1249,0,0.31620452769710455,-0.08360235596472726,0.24629283600841378,46.915468474555524,7.908462892101209,0.4995367040955543,False,False,False,0.0,fake
vendor_24,-1,1249,0,0.2154053423736809,-0.21952633254479387,0.3198847515596437,48.5771427751162,4.952585956327393,-0.1257783787392019,False,False,False,0.0,fake
vendor_15,-1,1249,0,0.20748043862054033,-0.2151015170829524,0.3259985334649418,49.02385216211963,4.910006340589401,-0.7207023871220848,False,False,False,0.0,fake
vendor_07,-1,1249,0,0.19131404520080428,-0.23162278193649247,0.3302324374871849,49.205840470033806,4.523557569457548,1.2489822795111418,False,False,False,0.0,fake
vendor_04,-1,1249,0,0.1689649967337264,-0.24442104650614122,0.3558457545359136,48.15210599267585,4.088029827509043,0.7799442943290004,False,False,False,0.01,REAL
vendor_08,909,340,909,0.26385030991076613,-0.12892944649107482,0.3875643407577154,48.031975656771586,6.718544032787843,1.2893452801219942,False,False,False,0.0,fake
vendor_06,985,264,985,0.255707083459264,-0.21610533642677013,0.4056150444425638,53.87306108036329,5.419497928591266,1.6491363060927182,False,False,False,0.0,fake
vendor_21,1095,154,1095,0.25061848162006783,-0.15822138317124274,0.4168302777794115,48.41998510772674,6.130480584688858,-1.6018090474262299,False,False,False,0.0,fake
vendor_17,-1,1249,0,0.08586967923513017,-0.3296068384616816,0.4243455249692756,48.47248340864309,2.067121691643603,-1.8082857977321927,False,False,False,0.0,fake
vendor_16,832,417,832,0.005179327853233506,-0.41105379276357656,0.4973908060169525,48.88365754203588,0.12444993262077375,0.8608690267912468,False,False,False,0.0,fake
vendor_28,-1,1249,0,-0.05472401835001535,-0.49155500965399745,0.550021916567702,49.686375081993305,0.0,-2.0890845064045815,False,False,False,0.0,fake
vendor_14,-1,1249,0,-0.11704335120444281,-0.5354586267179785,0.59966887993767,48.060475310449185,0.0,0.1848621071809682,False,False,False,0.0,fake
vendor_11,-1,1249,0,-0.18890203854830007,-0.5766150445742403,0.6560722583272357,47.27926095953348,0.0,0.2948632444731513,False,False,False,0.0,fake
vendor_20,-1,1249,0,-0.19712749776331065,-0.6221692991639537,0.6633912588895648,49.67049348658176,0.0,0.0020362422816870072,False,False,False,0.0,fake
vendor_26,-1,1249,0,-0.30692877063286417,-0.7361773644952235,0.747632131229964,49.354145434664304,0.0,-0.4152063968247116,False,False,False,0.0,fake
vendor_29,-1,1249,0,-0.355358580599369,-0.7835632639549768,0.7758676345724618,49.50674209727518,0.0,-0.2842136306063787,False,False,False,0.0,fake
vendor_25,1074,175,1074,-1.0772974559214423,-1.4555840337813861,0.8311361498506282,42.317405728520946,0.0,-0.08122327112846331,False,False,False,0.0,fake
vendor_23,-1,1249,0,-0.46203545659041184,-0.8665001581251028,0.8325674828668798,48.57189595803968,0.0,0.45495412289269266,False,False,False,0.0,fake
vendor_02,811,438,811,-0.7104615717279699,-1.127031648854024,0.843462822633391,47.29134099142437,0.0,1.710179750528155,False,False,False,0.02,REAL
vendor_18,-1,1249,0,-0.4450007105330642,-0.8788143292306506,0.8478999330777038,50.098866295491675,0.0,1.030559268138048,False,False,False,0.0,fake
vendor_19,1132,117,1132,-2.3101578772409157,-2.7248759243384644,0.9360031942646103,48.56365909626327,0.0,0.3028882119511482,False,False,False,0.0,fake
vendor_09,-1,1249,0,-0.8699538712875151,-1.2778419133749466,0.9761014612355279,47.380880533448824,0.0,-1.7655211433322995,False,False,False,0.0,fake
