returns_sig_n,returns_sig_prec,returns_sig_recall,returns_buy_n,returns_buy_prec,returns_buy_recall,returns_mirrors_bought,returns_holdout_buy,returns_holdout_rej,fund_sig_n,fund_sig_prec,fund_sig_recall,fund_buy_n,fund_buy_prec,fund_buy_recall,fund_mirrors_bought,fund_holdout_buy,fund_holdout_rej
3,0.6666666666666666,0.4,3,0.6666666666666666,0.4,0,0.9296996478186258,0.09654527227974287,5,1.0,1.0,5,1.0,1.0,0,0.7451798288767384,0.06679688602500973
1,0.0,0.0,1,0.0,0.0,0,0.5759584649424971,0.7792771236511381,5,1.0,1.0,2,1.0,0.4,0,1.4654249565525532,0.7230051834900141
1,1.0,0.2,1,1.0,0.2,0,0.8845062582512635,0.5653868317229799,5,1.0,1.0,1,1.0,0.2,0,0.8845062582512635,0.5653868317229799
2,1.0,0.4,2,1.0,0.4,0,0.6474888594431789,0.4190024748009638,5,1.0,1.0,3,1.0,0.6,0,0.5687454286955249,0.41928928619358413
2,1.0,0.4,2,1.0,0.4,0,1.0826145279703274,-0.03326019956610677,5,1.0,1.0,2,1.0,0.4,0,1.0826145279703274,-0.03326019956610677
4,0.5,0.4,4,0.5,0.4,0,0.3359373288932451,0.31349328029660417,5,1.0,1.0,4,1.0,0.8,0,0.9894163314655404,0.21295804913163557
0,,0.0,0,,0.0,0,,1.0345218138752996,5,1.0,1.0,2,1.0,0.4,0,1.6197009286363324,0.992723305678083
3,0.3333333333333333,0.2,3,0.3333333333333333,0.2,1,-0.11250955372238529,0.1307713645609329,5,1.0,1.0,4,1.0,0.8,0,0.9003014248828791,-0.015688750675133995
2,0.5,0.2,2,0.5,0.2,1,0.8367758444348943,0.9151008245275758,5,1.0,1.0,4,1.0,0.8,0,1.3211562908679269,0.8466057543142387
3,1.0,0.6,3,1.0,0.6,0,1.249555079917031,0.5658343653640763,5,1.0,1.0,5,1.0,1.0,0,1.1720345626976756,0.526640811643711
3,1.0,0.6,3,1.0,0.6,0,1.3427353521729393,0.6581571312229548,5,1.0,1.0,4,1.0,0.8,0,1.1169438843485147,0.6665643485440208
0,,0.0,0,,0.0,0,,0.816850942499954,5,1.0,1.0,5,1.0,1.0,0,1.5990532147741114,0.6604104880451225
0,,0.0,0,,0.0,0,,0.3583972963222875,5,1.0,1.0,0,,0.0,0,,0.3583972963222875
0,,0.0,0,,0.0,0,,0.554108660171716,5,1.0,1.0,1,1.0,0.2,0,1.5908854637532523,0.5183577359102837
