seed,fp,fn,n,weak_found,rc_p,spa_p
0,0,1,4,False,0.0,0.0
1,0,1,4,False,0.0,0.0
2,0,0,5,True,0.0,0.0
3,0,1,4,False,0.0,0.0
4,0,0,5,True,0.0,0.0
5,0,0,5,True,0.0,0.0
6,0,1,4,False,0.0,0.0
7,0,1,4,False,0.01,0.01
8,1,0,6,True,0.0,0.0
9,0,1,4,False,0.0,0.0
10,0,0,5,True,0.0,0.0
11,0,2,3,False,0.0,0.0
12,0,1,4,False,0.0,0.0
13,0,1,4,False,0.0425,0.0325
14,0,2,3,False,0.0,0.0
15,0,1,4,True,0.0,0.0
16,0,1,4,False,0.0075,0.005
17,0,1,4,False,0.0025,0.0025
18,0,1,4,False,0.0025,0.0025
19,0,1,4,False,0.0,0.0
20,0,1,4,False,0.0,0.0
21,0,1,4,False,0.0025,0.0025
22,0,1,4,False,0.0,0.0
23,0,1,4,False,0.0,0.0
24,0,1,4,False,0.0025,0.0025
25,0,1,4,False,0.0,0.0
26,0,1,4,False,0.0,0.0
27,0,2,3,False,0.0,0.0
28,0,3,2,False,0.03,0.0225
29,0,1,4,False,0.0,0.0
