vendor,ens_sharpe,mean_sharpe,frac_pos,max_sharpe,min_sharpe,spread,n_configs,selection_cost,seed,true_ic,kind,rank
vendor_01,1.6160607629207062,1.340476943097005,1.0,1.510435067673823,1.2018910056974028,0.30854406197642015,9,-0.10562569524688326,0,0.025,REAL,1
vendor_00,1.4308794375942124,1.2095604059583953,1.0,1.410310783254502,0.9259096961881373,0.48440108706636475,9,-0.020568654339710335,0,0.03,REAL,2
vendor_02,1.1111800574703588,0.887171356875224,1.0,1.0036352731011078,0.7515917102757702,0.2520435628253376,9,-0.10754478436925097,0,0.02,REAL,3
vendor_25,0.7254253958325838,0.56645934563758,1.0,0.7538250786300688,0.4288109033628352,0.32501417526723353,9,0.02839968279748495,0,0.0,fake,4
vendor_06,0.6825681364526137,0.543606436875696,1.0,0.8315694402247904,0.26686942790623586,0.5647000123185546,9,0.14900130377217669,0,0.0,fake,5
vendor_04,0.6236245904327045,0.49494531178263557,1.0,0.8183221009070839,0.20126008632673043,0.6170620145803535,9,0.19469751047437944,0,0.01,REAL,6
vendor_12,0.43375318034746535,0.3498902535767302,0.6666666666666666,0.9190379591289721,-0.14014107907740198,1.0591790382063742,9,0.4852847787815068,0,0.0,fake,7
vendor_22,0.3521585273955202,0.2944308050527212,0.8888888888888888,0.7492901674705122,-0.01924361988598327,0.7685337873564955,9,0.397131640074992,0,0.0,fake,8
vendor_10,0.3442027305939683,0.27130294740120164,1.0,0.4266185327328973,0.089554006991142,0.33706452574175527,9,0.08241580213892902,0,0.0,fake,9
vendor_03,0.30260034058176366,0.2577077069107129,0.6666666666666666,0.8040655280128092,-0.23411867003738787,1.0381841980501971,9,0.5014651874310455,0,0.015,REAL,10
vendor_07,0.29350773993866847,0.232750609758194,1.0,0.42081054180486815,0.08980799843323525,0.33100254337163293,9,0.1273028018661997,0,0.0,fake,11
vendor_28,0.1983590475977374,0.15392105980856216,0.8888888888888888,0.3622363727747208,-0.02632319615202997,0.3885595689267508,9,0.16387732517698342,0,0.0,fake,12
vendor_15,0.18183531916177814,0.14128495590049547,0.6666666666666666,0.39749759776230387,-0.18649534554817945,0.5839929433104833,9,0.21566227860052573,0,0.0,fake,13
vendor_14,0.17825809184008576,0.14500611932576898,0.7777777777777778,0.24477522126152143,-0.04771073593496207,0.2924859571964835,9,0.06651712942143567,0,0.0,fake,14
vendor_16,0.1773604425999947,0.1443926269161506,0.6666666666666666,0.26883497496972275,-0.0584780256598194,0.32731300062954216,9,0.09147453236972805,0,0.0,fake,15
vendor_23,0.1623849995453981,0.13218105687220733,0.6666666666666666,0.3768231652453793,-0.24767961801050015,0.6245027832558794,9,0.2144381656999812,0,0.0,fake,16
vendor_20,0.1511806144162406,0.12061523145974033,0.3333333333333333,0.8507937795865858,-0.43304384243326105,1.2838376220198469,9,0.6996131651703452,0,0.0,fake,17
vendor_29,0.05764797601384672,0.043621543748602866,0.6666666666666666,0.2633114214402014,-0.24505266238990356,0.508364083830105,9,0.2056634454263547,0,0.0,fake,18
vendor_21,0.013076601005509928,0.013862946814373835,0.6666666666666666,0.18349985963208076,-0.21924283366401198,0.40274269329609275,9,0.17042325862657084,0,0.0,fake,19
vendor_19,-0.0009066581105265688,0.009847523111045099,0.5555555555555556,0.31336787420098344,-0.33902944138728547,0.652397315588269,9,0.31427453231151004,0,0.0,fake,20
vendor_08,-0.01235583091369231,-0.010436220800773381,0.6666666666666666,0.14191665896701589,-0.27369737908983804,0.41561403805685393,9,0.15427248988070819,0,0.0,fake,21
vendor_27,-0.03111111671281635,-0.025362060397806644,0.4444444444444444,0.21925879665123787,-0.253899070883574,0.47315786753481187,9,0.25036991336405423,0,0.0,fake,22
vendor_13,-0.09664552855377194,-0.06917251732802764,0.4444444444444444,0.2034244647300033,-0.389075165052647,0.5924996297826504,9,0.30006999328377526,0,0.0,fake,23
vendor_18,-0.2908268224562687,-0.2216510059647871,0.3333333333333333,0.414467560414228,-0.7949292568743516,1.2093968172885796,9,0.7052943828704967,0,0.0,fake,24
vendor_11,-0.29890570745035944,-0.2394049690948945,0.0,-0.03959039228049566,-0.37962890974540886,0.3400385174649132,9,0.2593153151698638,0,0.0,fake,25
vendor_17,-0.34845703992686156,-0.2800949370703107,0.0,-0.1177295014306611,-0.4176976305370511,0.29996812910639004,9,0.23072753849620045,0,0.0,fake,26
vendor_24,-0.360921420010625,-0.30218472983557404,0.3333333333333333,0.1627766359381459,-0.6087951180047314,0.7715717539428772,9,0.523698055948771,0,0.0,fake,27
vendor_05,-0.43298431432850815,-0.3358148795593521,0.3333333333333333,0.215668942261037,-0.7616226350631663,0.9772915773242032,9,0.6486532565895451,0,0.0,fake,28
vendor_09,-0.8625947525339421,-0.6883702715395581,0.0,-0.12680722957249596,-0.9905784135609328,0.8637711839884368,9,0.7357875229614461,0,0.0,fake,29
vendor_26,-0.9211848047328872,-0.7278482178498658,0.0,-0.47742433853764604,-0.9719524177024049,0.4945280791647589,9,0.4437604661952412,0,0.0,fake,30
vendor_02,1.934635752539022,1.5954101458990735,1.0,2.215473209456837,1.097569597809002,1.117903611647835,9,0.2808374569178149,1,0.02,REAL,1
vendor_00,1.7786235801320704,1.5117300589162732,1.0,1.6934811853966978,1.1894764789028522,0.5040047064938455,9,-0.08514239473537266,1,0.03,REAL,2
vendor_01,1.2279280315659606,1.0215032021287669,1.0,1.4519822567218001,0.700186418122279,0.7517958385995211,9,0.2240542251558395,1,0.025,REAL,3
vendor_18,0.8428283919796483,0.6722630419958073,1.0,1.1402414094308742,0.13980116688781402,1.00044024254306,9,0.29741301745122584,1,0.0,fake,4
vendor_25,0.757554646859315,0.6007348707225432,1.0,0.8461394921057475,0.4366139196922528,0.40952557241349463,9,0.08858484524643251,1,0.0,fake,5
vendor_04,0.4825736463143895,0.3879648341206156,1.0,0.5744121753442651,0.05233196701531683,0.5220802083289483,9,0.09183852902987566,1,0.01,REAL,6
vendor_15,0.4206702811817353,0.33845535474334065,1.0,0.4256725671251297,0.2607825788396486,0.16488998828548107,9,0.005002285943394413,1,0.0,fake,7
vendor_10,0.39921592982832493,0.3161005858572157,1.0,0.45069622925914676,0.16914190318411254,0.2815543260750342,9,0.05148029943082183,1,0.0,fake,8
vendor_09,0.39685236819183234,0.3253709413933479,0.7777777777777778,0.675273895427897,-0.05943670128488711,0.734710596712784,9,0.2784215272360646,1,0.0,fake,9
vendor_28,0.38345083251954165,0.3098946510288137,1.0,0.4855141807630496,0.07212786076763354,0.41338631999541603,9,0.10206334824350793,1,0.0,fake,10
vendor_03,0.2430190798721854,0.18831564222945604,0.6666666666666666,0.4497377918195719,-0.06515384131882987,0.5148916331384018,9,0.2067187119473865,1,0.015,REAL,11
vendor_27,0.23693757446493127,0.18442087675836344,0.6666666666666666,0.677435066701631,-0.5088710978732439,1.186306164574875,9,0.44049749223669976,1,0.0,fake,12
vendor_19,0.16354188611534978,0.1342551820687188,0.5555555555555556,0.5261346543955691,-0.12005161853724844,0.6461862729328175,9,0.36259276828021925,1,0.0,fake,13
vendor_22,0.1182954052961163,0.09462779235051749,0.6666666666666666,0.5322497980348969,-0.3391819707528587,0.8714317687877556,9,0.4139543927387806,1,0.0,fake,14
vendor_24,0.11452618154440924,0.10056442704143478,0.6666666666666666,0.358708355949076,-0.42964682902509344,0.7883551849741695,9,0.24418217440466677,1,0.0,fake,15
vendor_16,0.046241315844166186,0.047855432020548525,0.6666666666666666,0.4303951175270606,-0.6298003676377422,1.0601954851648028,9,0.3841538016828944,1,0.0,fake,16
vendor_05,-0.024628876326547828,-0.02238653430782134,0.3333333333333333,0.18115209073687194,-0.15826908677871757,0.33942117751558953,9,0.20578096706341978,1,0.0,fake,17
vendor_14,-0.06557360105198633,-0.05325514656708753,0.3333333333333333,0.06614799947851352,-0.13743006948641626,0.20357806896492978,9,0.13172160053049986,1,0.0,fake,18
vendor_13,-0.11750479840707315,-0.0961140959986798,0.3333333333333333,0.10224541131412959,-0.21934223090865465,0.32158764222278424,9,0.21975020972120274,1,0.0,fake,19
vendor_20,-0.1175864326198741,-0.09758693330705347,0.2222222222222222,0.04964321111997023,-0.193635074274135,0.24327828539410523,9,0.16722964373984434,1,0.0,fake,20
vendor_29,-0.15181426006991644,-0.1234262146983669,0.3333333333333333,0.28762756315929183,-0.5296646626167074,0.8172922257759992,9,0.4394418232292083,1,0.0,fake,21
vendor_17,-0.15850318292996401,-0.12763075986055697,0.1111111111111111,0.027659642880429818,-0.2731546175784022,0.30081426045883203,9,0.18616282581039384,1,0.0,fake,22
vendor_07,-0.4382144251308387,-0.34732409573459283,0.0,-0.2225372054259481,-0.5247467475655059,0.30220954213955775,9,0.2156772197048906,1,0.0,fake,23
vendor_06,-0.5183927343063234,-0.4238452212152539,0.0,-0.2421226597515963,-0.5910506280311051,0.3489279682795088,9,0.2762700745547271,1,0.0,fake,24
vendor_12,-0.534051858610463,-0.42578421497137264,0.0,-0.1657183317368163,-0.8023883677751009,0.6366700360382846,9,0.36833352687364673,1,0.0,fake,25
vendor_08,-0.5825811627059958,-0.47809065303657683,0.0,-0.12084847434347878,-0.8351008855114144,0.7142524111679356,9,0.461732688362517,1,0.0,fake,26
vendor_26,-0.6810287607392684,-0.5384512296183944,0.1111111111111111,0.05927018932811466,-0.8578003570323485,0.9170705463604631,9,0.7402989500673831,1,0.0,fake,27
vendor_21,-0.7382498521796041,-0.5919374879091495,0.0,-0.2987795139816531,-0.8273044483127535,0.5285249343311005,9,0.43947033819795106,1,0.0,fake,28
vendor_23,-0.7739967213091388,-0.6224817807303591,0.0,-0.3348030903939672,-1.0370110084001745,0.7022079180062073,9,0.43919363091517155,1,0.0,fake,29
vendor_11,-1.0565426528158106,-0.866189273116711,0.0,-0.038081513158423064,-1.3455144040258034,1.3074328908673802,9,1.0184611396573875,1,0.0,fake,30
vendor_00,2.1280690783824614,1.8456926299901792,1.0,2.312072202151407,1.3829428896070395,0.9291293125443674,9,0.18400312376894545,2,0.03,REAL,1
vendor_01,1.646352813286989,1.3707563831770644,1.0,1.5577045157234526,1.1087285860495426,0.44897592967391,9,-0.08864829756353632,2,0.025,REAL,2
vendor_02,1.5046218487098875,1.2158947937421956,1.0,1.5217541029651975,0.9275278278567883,0.5942262751084092,9,0.017132254255310064,2,0.02,REAL,3
vendor_04,0.8053608175377263,0.6488141825074638,1.0,0.8537288857241097,0.4755911320740204,0.3781377536500893,9,0.048368068186383395,2,0.01,REAL,4
vendor_29,0.7990559711024967,0.6322040987587983,1.0,0.9640061040697696,0.3266844390586387,0.6373216650111309,9,0.1649501329672729,2,0.0,fake,5
vendor_13,0.7412470176009236,0.6079672979704073,1.0,0.8946966478944708,0.3385823299228222,0.5561143179716486,9,0.1534496302935472,2,0.0,fake,6
vendor_22,0.7105661711671862,0.579817874503092,1.0,0.8842855654913706,0.2470976679877605,0.63718789750361,9,0.17371939432418437,2,0.0,fake,7
vendor_08,0.5625109701160588,0.43767742619998323,1.0,0.817939939595415,0.1202497294592168,0.6976902101361981,9,0.2554289694793562,2,0.0,fake,8
vendor_21,0.45136881347987523,0.3494105681553537,0.7777777777777778,0.664517764997937,-0.1213513874209604,0.7858691524188974,9,0.2131489515180618,2,0.0,fake,9
vendor_12,0.44917583670326766,0.36199407718096643,1.0,0.5205586240886818,0.24046824830349423,0.2800903757851876,9,0.07138278738541415,2,0.0,fake,10
vendor_03,0.4149440979372542,0.3378642284001218,1.0,0.6114434079284903,0.1573399229723294,0.4541034849561609,9,0.1964993099912361,2,0.015,REAL,11
vendor_24,0.41192778425504484,0.3311376089497803,1.0,0.46673468081670344,0.23109494416579757,0.23563973665090587,9,0.0548068965616586,2,0.0,fake,12
vendor_15,0.387856290759063,0.30724890498421087,1.0,0.5281812953108227,0.09389909471647645,0.43428220059434625,9,0.14032500455175967,2,0.0,fake,13
vendor_18,0.3734592957764735,0.30696849361126904,0.6666666666666666,0.7030286901416182,-0.0741027000907214,0.7771313902323396,9,0.32956939436514465,2,0.0,fake,14
vendor_27,0.3057975035763762,0.2465488709782442,1.0,0.39590097407384234,0.11966240927683253,0.2762385647970098,9,0.09010347049746614,2,0.0,fake,15
vendor_09,0.22156125702712837,0.1779440955517877,1.0,0.3307158265172102,0.10875986490500142,0.2219559616122088,9,0.10915456949008184,2,0.0,fake,16
vendor_11,0.04013630566469151,0.023106565172698126,0.6666666666666666,0.501920925105929,-0.5439722445007704,1.0458931696066993,9,0.4617846194412375,2,0.0,fake,17
vendor_23,-0.012543523035552454,-0.008767334095827937,0.3333333333333333,0.182674837294717,-0.15280431133603395,0.33547914863075096,9,0.19521836033026946,2,0.0,fake,18
vendor_25,-0.06577287249961423,-0.056364163728541264,0.3333333333333333,0.1751854244851285,-0.2745131832807815,0.44969860776591,9,0.24095829698474275,2,0.0,fake,19
vendor_26,-0.15320479778960938,-0.12409386277827078,0.3333333333333333,0.2202161929744806,-0.3579552779042663,0.5781714708787469,9,0.37342099076408997,2,0.0,fake,20
vendor_05,-0.17848830724646153,-0.15217647971134307,0.3333333333333333,0.2837717442590386,-0.41881946435353273,0.7025912086125714,9,0.46226005150550015,2,0.0,fake,21
vendor_20,-0.18150194023995805,-0.14984768335517532,0.1111111111111111,0.04549993579371035,-0.2714894143015308,0.31698935009524115,9,0.2270018760336684,2,0.0,fake,22
vendor_06,-0.2843456623368957,-0.2354106498161873,0.3333333333333333,0.16952446823718456,-0.7397299386870168,0.9092544069242013,9,0.4538701305740802,2,0.0,fake,23
vendor_17,-0.31239177782087474,-0.2504577398345365,0.0,-0.10172749447966996,-0.3803088125573458,0.27858131807767583,9,0.2106642833412048,2,0.0,fake,24
vendor_07,-0.3957304574586771,-0.32593571390098836,0.0,-0.038186724445141366,-0.5962131293015649,0.5580264048564235,9,0.3575437330135357,2,0.0,fake,25
vendor_10,-0.5472405724281093,-0.4411750722465697,0.0,-0.21137028678905165,-0.7776005587629684,0.5662302719739167,9,0.33587028563905763,2,0.0,fake,26
vendor_19,-0.7122814747124787,-0.5738296218299934,0.0,-0.3270785074650191,-0.8053822521786439,0.4783037447136248,9,0.3852029672474596,2,0.0,fake,27
