seed,inversions,any_inversion,max_fake,min_real,top_is_fake,best_fake_rank,weakest_real_rank,mean_search_gap,max_score
0,0,False,1.0,1.0,False,6,5,0.21983369488916407,1.0
1,0,False,1.0,1.0,False,5,6,0.3108938798995812,1.0
2,0,False,1.0,1.0,False,6,5,0.22829524022390982,1.0
3,3,True,1.0,0.4444444444444444,False,5,8,0.2017137299278949,1.0
4,0,False,1.0,1.0,False,6,5,0.15879062673007227,1.0
5,0,False,1.0,1.0,False,6,5,0.13882640957712492,1.0
6,0,False,1.0,1.0,False,6,5,0.21398060658255638,1.0
7,0,False,1.0,1.0,False,5,7,0.1784436790755616,1.0
8,0,False,1.0,1.0,False,5,6,0.22486611312820662,1.0
9,0,False,1.0,1.0,False,6,5,0.1971311088226311,1.0
10,0,False,1.0,1.0,False,6,5,0.22402440890244743,1.0
11,0,False,1.0,1.0,False,5,6,0.2171521564687533,1.0
12,0,False,1.0,1.0,False,5,7,0.30918044831499747,1.0
13,0,False,1.0,1.0,False,6,5,0.28779970366447,1.0
14,0,False,1.0,1.0,False,6,5,0.26102273284604965,1.0
15,0,False,1.0,1.0,False,6,5,0.1392424581014326,1.0
16,3,True,1.0,0.3333333333333333,False,5,8,0.23422857185003362,1.0
17,0,False,0.6666666666666666,1.0,False,6,5,0.197056196260515,1.0
18,0,False,1.0,1.0,False,6,5,0.22638268119284044,1.0
19,0,False,1.0,1.0,False,6,5,0.1698781112718661,1.0
20,0,False,1.0,1.0,False,6,5,0.14270701918385853,1.0
21,0,False,1.0,1.0,False,6,5,0.2603445767228038,1.0
22,0,False,1.0,1.0,False,5,7,0.24087711900759515,1.0
23,3,True,1.0,0.7777777777777778,False,5,8,0.20070412431483775,1.0
24,0,False,0.6666666666666666,1.0,False,6,5,0.29250165736995815,1.0
25,2,True,1.0,0.6666666666666666,False,5,7,0.2191411453432801,1.0
26,3,True,1.0,0.6666666666666666,False,5,8,0.1686124785778057,1.0
27,0,False,1.0,1.0,False,6,5,0.23029647053345323,1.0
28,0,False,1.0,1.0,False,6,5,0.3135841187729008,1.0
29,1,True,1.0,0.8888888888888888,False,5,6,0.1947363459344699,1.0
30,0,False,1.0,1.0,False,6,5,0.19228853166723622,1.0
31,3,True,1.0,0.6666666666666666,False,5,10,0.1882817831178336,1.0
32,0,False,0.6666666666666666,1.0,False,6,5,0.29359140586610627,1.0
33,0,False,0.4444444444444444,1.0,False,6,5,0.2869937879655247,1.0
34,0,False,1.0,1.0,False,6,5,0.2903121012233796,1.0
35,0,False,1.0,1.0,False,6,5,0.22898827275292777,1.0
36,0,False,1.0,1.0,False,6,5,0.2690148273879323,1.0
37,0,False,0.6666666666666666,1.0,False,6,5,0.2291419136985566,1.0
38,0,False,1.0,1.0,False,6,5,0.1969088797350307,1.0
39,0,False,0.6666666666666666,0.6666666666666666,False,6,5,0.20494903150317956,1.0
40,0,False,0.7777777777777778,1.0,False,6,5,0.16161431283414854,1.0
41,0,False,1.0,1.0,False,5,6,0.24708934588857678,1.0
42,0,False,1.0,1.0,False,6,5,0.2301609145993799,1.0
43,0,False,1.0,1.0,False,6,5,0.048181646202163496,1.0
44,0,False,0.6666666666666666,1.0,False,6,5,0.3385600259329691,1.0
45,0,False,0.6666666666666666,0.8888888888888888,False,6,5,0.24204194504268228,1.0
46,0,False,1.0,1.0,False,5,7,0.14762268902361683,1.0
47,0,False,1.0,1.0,False,6,5,0.22350375577077616,1.0
48,0,False,0.6666666666666666,1.0,False,6,5,0.21460027995615574,1.0
49,5,True,1.0,0.3333333333333333,False,5,10,0.2685447543914889,1.0
50,0,False,1.0,1.0,False,6,5,0.26000371513263504,1.0
51,0,False,1.0,1.0,False,6,5,0.21696371879810794,1.0
52,0,False,1.0,1.0,False,5,6,0.2591209530342184,1.0
53,0,False,1.0,1.0,False,4,6,0.16357521858071236,1.0
54,0,False,1.0,1.0,False,5,7,0.1376079241388157,1.0
55,0,False,1.0,1.0,False,6,5,0.24068843100456858,1.0
56,0,False,1.0,1.0,False,6,5,0.17725863489047208,1.0
57,1,True,1.0,0.6666666666666666,False,5,6,0.34116980676493003,1.0
58,0,False,1.0,1.0,False,5,6,0.2504172565310872,1.0
59,0,False,1.0,1.0,False,6,5,0.3119203037012044,1.0
60,0,False,1.0,1.0,False,5,6,0.19281413410953105,1.0
61,0,False,1.0,1.0,False,5,8,0.1674018188827948,1.0
62,0,False,0.7777777777777778,1.0,False,6,5,0.17513936428799967,1.0
63,2,True,1.0,0.6666666666666666,False,5,8,0.20146686932958988,1.0
64,2,True,1.0,0.6666666666666666,False,5,8,0.17769078411883657,1.0
65,0,False,1.0,1.0,False,6,5,0.12610614215484275,1.0
66,0,False,1.0,1.0,False,6,5,0.32363324149538425,1.0
67,0,False,1.0,1.0,False,6,5,0.2794317951690431,1.0
68,3,True,1.0,0.6666666666666666,False,4,8,0.2486121279913788,1.0
69,3,True,1.0,0.3333333333333333,False,5,8,0.24179733136954287,1.0
70,0,False,1.0,1.0,False,5,6,0.24710490940897611,1.0
71,0,False,1.0,1.0,False,5,6,0.18586178595166455,1.0
72,2,True,1.0,0.7777777777777778,False,5,7,0.2268746699709431,1.0
73,0,False,1.0,1.0,False,5,7,0.14416846956321971,1.0
74,0,False,1.0,1.0,False,5,6,0.23444026421695677,1.0
75,0,False,1.0,1.0,False,6,5,0.1577858941108278,1.0
76,0,False,1.0,1.0,False,6,5,0.19795260030142878,1.0
77,0,False,1.0,1.0,False,6,5,0.17312478362470796,1.0
78,0,False,1.0,1.0,False,5,7,0.13751091999124784,1.0
79,0,False,1.0,1.0,False,6,5,0.23179735410303234,1.0
80,1,True,1.0,0.6666666666666666,False,5,7,0.35354970105374,1.0
81,2,True,1.0,0.8888888888888888,False,5,7,0.19508853675246482,1.0
82,0,False,1.0,1.0,False,6,5,0.10089878684578686,1.0
83,1,True,1.0,0.7777777777777778,False,5,6,0.31219157794500724,1.0
84,0,False,1.0,1.0,False,6,5,0.25594477923816944,1.0
85,0,False,1.0,1.0,False,6,5,0.19416414667248713,1.0
86,0,False,1.0,1.0,False,6,5,0.19771926499937564,1.0
87,0,False,1.0,1.0,False,6,5,0.2312512289838994,1.0
88,0,False,0.6666666666666666,0.6666666666666666,False,5,6,0.30765274729315634,1.0
89,0,False,1.0,1.0,False,4,6,0.1815355110729087,1.0
90,0,False,1.0,1.0,False,5,7,0.10566907152547002,1.0
91,0,False,1.0,1.0,False,6,5,0.1504600901062521,1.0
92,0,False,1.0,1.0,False,5,6,0.13676594805677553,1.0
93,0,False,1.0,1.0,False,6,5,0.20196072521005506,1.0
94,0,False,1.0,1.0,False,6,5,0.26018366656641456,1.0
95,0,False,0.6666666666666666,1.0,False,6,5,0.20514514406917392,1.0
96,0,False,1.0,1.0,False,6,5,0.21648285486231522,1.0
97,0,False,1.0,1.0,False,5,6,0.1845488428901445,1.0
98,0,False,1.0,1.0,False,5,8,0.22374525301888215,1.0
99,1,True,0.7777777777777778,0.6666666666666666,False,5,7,0.2139846235452542,1.0
100,0,False,1.0,1.0,False,6,5,0.21089443978108846,1.0
101,0,False,1.0,1.0,False,5,7,0.13727048145750279,1.0
102,0,False,1.0,1.0,False,6,5,0.2748066600714895,1.0
103,0,False,1.0,1.0,False,5,6,0.24920813184082324,1.0
104,0,False,1.0,1.0,False,5,6,0.145874986169784,1.0
105,0,False,1.0,1.0,False,5,7,0.2454832761678377,1.0
106,0,False,1.0,1.0,False,5,6,0.17643639148168774,1.0
107,0,False,1.0,1.0,False,4,6,0.2169755480197706,1.0
108,0,False,1.0,1.0,False,6,5,0.12568149383458851,1.0
109,0,False,1.0,1.0,False,6,5,0.17908092909100293,1.0
110,4,True,1.0,0.3333333333333333,False,5,9,0.27735802910535046,1.0
111,0,False,1.0,1.0,False,6,5,0.23234158775946293,1.0
112,0,False,1.0,1.0,False,6,5,0.21385620258219884,1.0
113,0,False,1.0,1.0,False,6,5,0.17561426331048371,1.0
114,0,False,1.0,1.0,False,6,5,0.12253920564954533,1.0
115,0,False,0.6666666666666666,1.0,False,6,5,0.2205000481148386,1.0
116,0,False,1.0,1.0,False,6,5,0.20844139481110835,1.0
117,0,False,1.0,1.0,False,6,5,0.19973402789200198,1.0
118,0,False,1.0,1.0,False,6,5,0.1312267595507154,1.0
119,0,False,1.0,1.0,False,6,5,0.20424587974964944,1.0
120,1,True,1.0,0.6666666666666666,False,5,6,0.2874129472042108,1.0
121,0,False,1.0,1.0,False,6,5,0.20889144033035453,1.0
122,0,False,1.0,1.0,False,6,5,0.18934966143987675,1.0
123,0,False,1.0,1.0,False,6,5,0.33323887089578347,1.0
124,4,True,1.0,0.3333333333333333,False,5,9,0.31938330786698743,1.0
125,1,True,0.7777777777777778,0.6666666666666666,False,5,6,0.22361097392822815,1.0
126,0,False,1.0,1.0,False,6,5,0.12262723957822878,1.0
127,0,False,0.6666666666666666,1.0,False,6,5,0.19365708166698145,1.0
128,0,False,1.0,1.0,False,5,8,0.16965404982939924,1.0
129,0,False,1.0,1.0,False,6,5,0.12379100215500377,1.0
130,5,True,1.0,0.4444444444444444,False,5,10,0.17251463857235502,1.0
131,3,True,1.0,0.6666666666666666,False,5,10,0.1874179492058654,1.0
132,0,False,1.0,1.0,False,6,5,0.13774654050553578,1.0
133,0,False,0.6666666666666666,0.6666666666666666,False,5,6,0.27001831591271136,1.0
134,0,False,1.0,1.0,False,5,6,0.20859257389436367,1.0
135,3,True,1.0,0.3333333333333333,False,5,8,0.20747375898001189,1.0
136,1,True,1.0,0.8888888888888888,False,5,6,0.21720800363960144,1.0
137,0,False,1.0,1.0,True,1,7,0.21225329231052062,1.0
138,0,False,1.0,1.0,False,6,5,0.23593302738632613,1.0
139,0,False,1.0,1.0,False,6,5,0.1326739660665394,1.0
140,2,True,1.0,0.6666666666666666,False,5,7,0.16478490985975505,1.0
141,2,True,1.0,0.6666666666666666,False,5,8,0.2074982678813433,1.0
142,0,False,1.0,1.0,False,5,6,0.20270394966734984,1.0
143,0,False,0.7777777777777778,1.0,False,6,5,0.21858509003025317,1.0
144,0,False,1.0,1.0,False,6,5,0.11337095100023468,1.0
145,0,False,1.0,1.0,False,6,5,0.1650181203648973,1.0
146,0,False,1.0,1.0,False,5,6,0.3597330249810448,1.0
147,3,True,1.0,0.6666666666666666,False,5,8,0.2560024451027731,1.0
148,0,False,0.3333333333333333,1.0,False,6,5,0.24534185608033207,1.0
149,2,True,1.0,0.8888888888888888,False,5,7,0.18049739595699157,1.0
150,0,False,1.0,1.0,False,6,5,0.21978479117843885,1.0
151,0,False,0.6666666666666666,1.0,False,6,5,0.256803928183644,1.0
152,0,False,1.0,1.0,False,5,6,0.12795445725525942,1.0
153,2,True,1.0,0.6666666666666666,False,5,7,0.2312126320897753,1.0
154,4,True,1.0,0.5555555555555556,False,5,9,0.22707118963640852,1.0
155,0,False,1.0,1.0,False,6,5,0.3016385200754765,1.0
156,0,False,1.0,1.0,False,5,6,0.24741640725591152,1.0
157,0,False,1.0,1.0,False,5,6,0.30728579412528384,1.0
158,0,False,0.6666666666666666,1.0,False,6,5,0.22729531654373145,1.0
159,0,False,1.0,1.0,False,6,5,0.21801094647886785,1.0
160,5,True,1.0,0.3333333333333333,False,5,10,0.2657831374997291,1.0
161,0,False,0.8888888888888888,1.0,False,6,5,0.2685262275212437,1.0
162,3,True,1.0,0.6666666666666666,False,5,8,0.1334906031653527,1.0
163,0,False,1.0,1.0,False,6,5,0.22943860542505226,1.0
164,1,True,1.0,0.6666666666666666,False,5,6,0.29487143862439513,1.0
