vendor,single_sharpe,best_sharpe,best_config,n_configs_tried,seed,true_ic,kind,rank
vendor_01,1.507966274623592,1.510435067673823,smooth1_top25,9,0,0.025,REAL,1
vendor_00,1.4004678668535144,1.410310783254502,smooth1_top50,9,0,0.03,REAL,2
vendor_02,0.9076586147157443,1.0036352731011078,smooth20_top25,9,0,0.02,REAL,3
vendor_12,0.23710774080603722,0.9190379591289721,smooth5_top50,9,0,0.0,fake,4
vendor_20,-0.0949188694954314,0.8507937795865858,smooth5_top50,9,0,0.0,fake,5
vendor_06,0.5107696168711944,0.8315694402247904,smooth20_all,9,0,0.0,fake,6
vendor_04,0.44838998891065374,0.8183221009070839,smooth5_top50,9,0,0.01,REAL,7
vendor_03,0.7801927330985561,0.8040655280128092,smooth1_top50,9,0,0.015,REAL,8
vendor_25,0.5367049277519313,0.7538250786300688,smooth20_top25,9,0,0.0,fake,9
vendor_22,0.7492901674705122,0.7492901674705122,smooth1_all,9,0,0.0,fake,10
vendor_10,0.25228365548321413,0.4266185327328973,smooth5_top25,9,0,0.0,fake,11
vendor_07,0.1555407019007107,0.42081054180486815,smooth5_top50,9,0,0.0,fake,12
vendor_18,0.3626087243583298,0.414467560414228,smooth1_top25,9,0,0.0,fake,13
vendor_15,-0.16539234210525097,0.39749759776230387,smooth20_top50,9,0,0.0,fake,14
vendor_23,0.273622691645491,0.3768231652453793,smooth5_top25,9,0,0.0,fake,15
vendor_28,0.10090690445796649,0.3622363727747208,smooth5_top25,9,0,0.0,fake,16
vendor_19,0.31336787420098344,0.31336787420098344,smooth1_all,9,0,0.0,fake,17
vendor_16,0.2350386252144425,0.26883497496972275,smooth1_top25,9,0,0.0,fake,18
vendor_29,-0.21177806722981454,0.2633114214402014,smooth20_all,9,0,0.0,fake,19
vendor_14,0.20745614479122346,0.24477522126152143,smooth5_top50,9,0,0.0,fake,20
vendor_27,-0.20518591336824354,0.21925879665123787,smooth5_top50,9,0,0.0,fake,21
vendor_05,-0.4995701885517634,0.215668942261037,smooth20_all,9,0,0.0,fake,22
vendor_13,0.2034244647300033,0.2034244647300033,smooth1_all,9,0,0.0,fake,23
vendor_21,0.06861268418723843,0.18349985963208076,smooth20_top25,9,0,0.0,fake,24
vendor_24,-0.5244523061485453,0.1627766359381459,smooth20_top25,9,0,0.0,fake,25
vendor_08,0.07349281667948245,0.14191665896701589,smooth5_top25,9,0,0.0,fake,26
vendor_11,-0.304173074209564,-0.03959039228049566,smooth20_all,9,0,0.0,fake,27
vendor_17,-0.34226420331887714,-0.1177295014306611,smooth20_all,9,0,0.0,fake,28
vendor_09,-0.22662602103641966,-0.12680722957249596,smooth1_top25,9,0,0.0,fake,29
vendor_26,-0.47742433853764604,-0.47742433853764604,smooth1_all,9,0,0.0,fake,30
vendor_02,1.4586712421826273,2.215473209456837,smooth5_top25,9,1,0.02,REAL,1
vendor_00,1.1894764789028522,1.6934811853966978,smooth20_top25,9,1,0.03,REAL,2
vendor_01,0.9007102354923857,1.4519822567218001,smooth5_all,9,1,0.025,REAL,3
vendor_18,0.6908265737598474,1.1402414094308742,smooth5_top25,9,1,0.0,fake,4
vendor_25,0.49453932595708644,0.8461394921057475,smooth5_top50,9,1,0.0,fake,5
vendor_27,0.3903386128998047,0.677435066701631,smooth5_top50,9,1,0.0,fake,6
vendor_09,0.6482092506392039,0.675273895427897,smooth1_top25,9,1,0.0,fake,7
