vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_00,2.0674771845964486,2.2461775673679747,0.1787003827715261,3,smooth1_top25,0.5,8,1.731;0.707;3.690;0.600;4.696;1.865;1.703;3.099,0,0.05,REAL,1
vendor_01,2.0516957797544286,2.169175845975733,0.11748006622130447,4,smooth1_top25,0.375,8,1.353;0.740;3.404;0.989;4.604;1.821;1.500;2.830,0,0.04,REAL,2
vendor_03,1.121486981651169,1.371854205065254,0.250367223414085,3,smooth1_top25,0.625,8,1.869;1.955;1.133;-0.494;2.030;1.018;-0.082;1.689,0,0.025,REAL,3
vendor_02,1.1095404879103403,1.514540486983727,0.4049999990733866,4,smooth5_top25,0.375,8,0.804;0.004;1.230;-0.889;2.576;-0.176;1.965;3.137,0,0.03,REAL,4
vendor_06,0.7100655486186638,1.0368738665479884,0.32680831792932463,3,smooth20_all,0.75,8,0.625;1.719;2.151;2.089;-0.408;-0.263;0.243;-0.587,0,0.0,fake,5
vendor_07,0.5871718594683643,0.7909613318377745,0.20378947236941025,5,smooth5_top25,0.25,8,0.797;1.111;-0.715;1.215;0.966;0.499;-1.202;1.444,0,0.0,fake,6
vendor_04,0.18249849177744945,0.9389633101155106,0.7564648183380611,6,smooth5_all,0.375,8,1.810;-0.048;0.441;-1.488;1.681;-0.261;-1.099;-0.326,0,0.01,REAL,7
vendor_10,0.03602458335930241,0.42551742153267924,0.3894928381733768,5,smooth5_top25,0.375,8,0.859;0.045;-2.617;2.517;-1.698;-0.022;1.735;-0.463,0,0.0,fake,8
vendor_11,-0.39015886051962073,-0.07912181659362845,0.3110370439259923,4,smooth1_all,0.5,8,0.468;1.120;-0.123;0.973;-5.399;-1.471;0.255;0.280,0,0.0,fake,9
vendor_08,-0.5819394089592889,0.08986169415900419,0.6718011031182931,5,smooth1_top25,0.375,8,-0.516;-0.246;-1.435;-0.557;-1.176;0.297;-1.656;0.274,0,0.0,fake,10
vendor_09,-0.6453273872212852,-0.10395446754963067,0.5413729196716546,4,smooth1_top25,0.5,8,-0.924;-0.342;-0.353;-1.284;0.944;1.134;-3.421;-1.291,0,0.0,fake,11
vendor_05,-1.0528867832268072,-0.2092689341590145,0.8436178490677927,5,smooth20_top50,0.375,8,1.370;-1.466;-0.382;-1.959;-1.351;-1.502;-4.089;1.288,0,0.0,fake,12
vendor_00,2.041918700329514,2.1795158113645847,0.13759711103507088,3,smooth1_all,0.5,8,3.753;3.599;1.825;-0.177;2.624;3.322;1.319;0.883,1,0.05,REAL,1
vendor_02,2.022059021209552,2.19966210975967,0.17760308855011786,3,smooth5_top25,0.625,8,4.741;1.980;1.100;-0.949;4.012;3.722;0.745;1.482,1,0.03,REAL,2
vendor_01,1.7509064138249935,1.9626341699187426,0.21172775609374916,3,smooth1_all,0.5,8,4.055;3.120;1.647;-0.447;2.150;2.926;0.867;0.070,1,0.04,REAL,3
vendor_03,1.5573933775383617,1.5751783098805219,0.017784932342160165,3,smooth5_top25,0.25,8,3.239;2.897;0.478;-0.360;3.095;2.011;1.838;0.301,1,0.025,REAL,4
vendor_09,0.38495514328329594,0.4908732450471147,0.10591810176381877,2,smooth5_all,0.375,8,1.237;2.918;-0.322;-0.042;1.854;-1.275;-0.207;0.088,1,0.0,fake,5
vendor_04,0.24857985900709556,0.7025002757928537,0.4539204167857581,5,smooth5_top25,0.25,8,0.596;-0.282;-1.454;1.560;0.478;1.690;-1.890;1.061,1,0.01,REAL,6
vendor_08,0.1962721651540635,0.1994896102292908,0.003217445075227282,3,smooth20_top25,0.5,8,-0.542;0.132;0.274;2.045;0.428;0.834;-1.874;-0.161,1,0.0,fake,7
vendor_07,0.057297397621536995,-0.08474107852056996,-0.14203847614210696,5,smooth20_top25,0.375,8,0.162;-1.455;-1.167;0.559;0.050;0.054;0.658;1.737,1,0.0,fake,8
vendor_11,-0.0695927501338509,0.011906632203477327,0.08149938233732823,3,smooth20_top25,0.5,8,0.238;-1.096;-1.190;-0.537;1.785;-1.069;1.103;0.733,1,0.0,fake,9
vendor_10,-0.20951609516881256,0.2812595871592033,0.4907756823280158,2,smooth5_top50,0.375,8,0.547;-0.352;-3.250;1.016;1.219;-0.941;-0.664;0.929,1,0.0,fake,10
vendor_06,-0.43605257550037446,-0.13651243412621514,0.2995401413741593,6,smooth20_top50,0.25,8,-0.681;-1.480;0.156;-2.285;-1.100;1.139;-0.100;0.510,1,0.0,fake,11
