vendor,wf_sharpe,naive_sharpe,selection_cost,config_switches,modal_config,modal_config_frac,n_folds,wf_sharpe_per_fold,seed,true_ic,kind,rank
vendor_00,2.333042572409144,2.463768328899834,0.13072575649069007,1,smooth1_top25,0.6,5,0.600;4.606;1.843;1.703;3.099,0,0.05,REAL,1
vendor_01,2.3285039913003,2.409266995165106,0.08076300386480595,1,smooth1_top25,0.6,5,0.989;4.478;1.901;1.500;2.830,0,0.04,REAL,2
vendor_02,1.4265731415760556,2.2397276547711646,0.813154513195109,3,smooth1_all,0.4,5,-0.911;2.394;-0.176;2.156;3.137,0,0.03,REAL,3
vendor_03,0.9036479192836914,1.6947530399219874,0.7911051206382961,2,smooth1_top25,0.6,5,-0.494;1.368;1.018;0.945;1.689,0,0.025,REAL,4
vendor_10,0.651174305823775,0.9327111130552166,0.2815368072314416,1,smooth5_top25,0.8,5,2.517;-1.516;0.180;2.649;-0.463,0,0.0,fake,5
vendor_07,0.6059248720607177,0.9235969954783798,0.31767212341766216,3,smooth5_all,0.4,5,1.402;-0.841;-0.410;1.525;1.532,0,0.0,fake,6
vendor_08,0.4180950197617716,0.4584055542807313,0.04031053451895972,3,smooth20_top25,0.4,5,0.012;0.323;0.302;1.270;0.187,0,0.0,fake,7
vendor_06,0.22508905770702864,0.9526629628536541,0.7275739051466255,0,smooth20_all,1.0,5,2.089;-0.408;-0.263;0.243;-0.275,0,0.0,fake,8
vendor_09,0.015217176080287853,0.015217176080287853,0.0,0,smooth1_top25,1.0,5,-1.284;0.944;1.134;0.154;-1.073,0,0.0,fake,9
vendor_04,-0.09984541998818357,0.9226696716416976,1.022515091629881,2,smooth20_top25,0.6,5,-1.488;-0.610;2.569;-0.962;-0.405,0,0.01,REAL,10
vendor_11,-0.7922013765851876,-0.059796463182326426,0.7324049134028612,1,smooth1_all,0.6,5,0.973;-5.399;-1.748;0.255;0.456,0,0.0,fake,11
vendor_05,-0.9404153919946234,-0.47774014242850393,0.4626752495661195,4,smooth20_top25,0.4,5,-1.959;-2.115;-0.369;-1.022;1.141,0,0.0,fake,12
vendor_02,1.9916960269634874,1.7753369619855706,-0.2163590649779168,2,smooth5_top25,0.6,5,-0.914;4.012;3.745;0.745;1.403,1,0.03,REAL,1
vendor_00,1.374704171920248,1.8743147471341817,0.4996105752139337,2,smooth1_all,0.8,5,-0.177;2.683;3.335;1.319;-0.185,1,0.05,REAL,2
vendor_01,1.1649412477976815,1.3867292530527335,0.22178800525505205,1,smooth5_all,0.6,5,-0.447;2.258;2.926;0.710;0.294,1,0.04,REAL,3
vendor_03,1.0149491350529618,1.3699780278545268,0.355028892801565,1,smooth5_top50,0.8,5,-1.273;3.095;2.011;0.310;0.900,1,0.025,REAL,4
vendor_08,0.3506205453721488,0.3948047552328994,0.044184209860750556,1,smooth20_top25,0.8,5,2.045;0.559;0.744;-1.865;0.463,1,0.0,fake,5
vendor_11,0.3059528407198912,0.49841695426220145,0.19246411354231024,1,smooth20_top50,0.6,5,-0.537;1.785;-1.233;1.036;0.733,1,0.0,fake,6
vendor_04,0.19650705068424007,1.1272007304057419,0.9306936797215017,3,smooth5_top25,0.4,5,1.560;0.370;1.602;-1.890;0.264,1,0.01,REAL,7
vendor_10,-0.14054327422677007,0.8415517026207329,0.9820949768475029,2,smooth1_top50,0.8,5,1.016;1.219;-0.941;-0.664;-1.223,1,0.0,fake,8
vendor_06,-0.16006174520666724,0.054532349439600274,0.21459409464626752,2,smooth1_all,0.4,5,-0.353;-1.100;0.297;-0.100;0.427,1,0.0,fake,9
vendor_07,-0.28903788475864456,0.5415107385138579,0.8305486232725025,0,smooth20_top25,1.0,5,0.559;-0.425;-0.914;0.114;-0.860,1,0.0,fake,10
vendor_05,-0.45155287551796275,-0.2993388322135112,0.15221404330445154,0,smooth5_top50,1.0,5,-0.504;-0.087;0.937;0.068;-2.875,1,0.0,fake,11
vendor_09,-0.5526632286800234,0.14038709246180528,0.6930503211418286,1,smooth1_top25,0.6,5,-2.051;0.569;-1.275;-0.207;0.088,1,0.0,fake,12
vendor_00,3.23567846160728,3.3399110500983733,0.10423258849109329,2,smooth5_top25,0.4,5,2.827;3.236;3.881;4.045;2.290,2,0.05,REAL,1
vendor_01,2.8627569334608807,2.8627569334608807,0.0,0,smooth5_top25,1.0,5,3.355;1.889;3.215;3.299;2.592,2,0.04,REAL,2
vendor_02,1.781139102094314,1.6582269208936777,-0.12291218120063618,1,smooth5_all,0.8,5,2.277;1.022;1.250;0.213;3.429,2,0.03,REAL,3
vendor_11,0.9764003129587283,0.9764003129587283,0.0,0,smooth5_top25,1.0,5,1.935;0.824;0.803;-0.549;1.726,2,0.0,fake,4
vendor_04,0.864084723649034,1.4923732081959509,0.6282884845469169,1,smooth5_top25,0.6,5,2.129;0.473;0.748;1.889;-1.336,2,0.01,REAL,5
vendor_03,0.6196398548462322,1.3205680944042497,0.7009282395580175,2,smooth5_all,0.6,5,-1.035;0.771;1.968;1.267;0.927,2,0.025,REAL,6
vendor_09,0.3814366754073928,0.815477013406673,0.4340403379992802,2,smooth5_top50,0.8,5,-0.277;0.476;1.556;-1.358;1.494,2,0.0,fake,7
