vendor,single_sharpe,best_sharpe,best_config,n_configs_tried
vendor_00,2.6585,2.67,smooth1_top50,9
vendor_01,1.7362,2.1466,smooth5_all,9
vendor_02,1.0548,1.6257,smooth20_top25,9
vendor_03,0.9773,1.506,smooth5_all,9
vendor_09,-0.7196,0.9046,smooth20_all,9
vendor_04,0.6135,0.7922,smooth1_top25,9
vendor_07,0.4723,0.6769,smooth5_all,9
vendor_11,0.4556,0.5179,smooth1_top25,9
vendor_10,-0.5359,0.5117,smooth20_all,9
vendor_06,0.1867,0.5059,smooth5_all,9
vendor_05,-0.0057,0.3902,smooth20_top25,9
vendor_08,0.0024,0.2447,smooth20_top25,9
