vendor,single_sharpe,best_sharpe,best_config,n_configs_tried,seed,true_ic,kind,rank
vendor_00,1.9765324025322577,1.9919519378738086,smooth1_top25,9,0,0.05,REAL,1
vendor_01,1.9829733187559448,1.9829733187559448,smooth1_all,9,0,0.04,REAL,2
vendor_02,1.3152409869916013,1.3303913724348455,smooth20_top25,9,0,0.03,REAL,3
vendor_03,1.17422091170175,1.2595603622365452,smooth1_top25,9,0,0.025,REAL,4
vendor_04,0.1771175203777978,0.9531443844634397,smooth5_top25,9,0,0.01,REAL,5
vendor_06,0.4979769721660886,0.7300089109803766,smooth20_all,9,0,0.0,fake,6
vendor_07,0.21901466398619227,0.5471671195075367,smooth5_top50,9,0,0.0,fake,7
vendor_10,0.21184671898335788,0.4084790908047164,smooth5_top25,9,0,0.0,fake,8
vendor_08,0.060231854400573714,0.15050473353711247,smooth5_top25,9,0,0.0,fake,9
vendor_05,-0.5100297493984924,0.045779566414300026,smooth20_all,9,0,0.0,fake,10
vendor_11,-0.25089400888196883,0.03137698520139056,smooth20_all,9,0,0.0,fake,11
vendor_09,-0.18105245214061141,-0.07781779154602184,smooth1_top25,9,0,0.0,fake,12
vendor_02,1.4485920510045889,1.9298419098635624,smooth5_all,9,1,0.03,REAL,1
vendor_00,1.8990630094087706,1.8990630094087706,smooth1_all,9,1,0.05,REAL,2
vendor_01,1.6655028467658137,1.6655028467658137,smooth1_all,9,1,0.04,REAL,3
vendor_03,0.7018937986918471,1.2080857518715604,smooth5_top50,9,1,0.025,REAL,4
vendor_09,0.5969312997047509,0.6276431911195218,smooth1_top25,9,1,0.0,fake,5
vendor_04,0.20119273403055865,0.4976931685868251,smooth5_top50,9,1,0.01,REAL,6
vendor_10,0.3692291694877265,0.4747064081366263,smooth5_top25,9,1,0.0,fake,7
vendor_05,-0.11949139889175159,0.20902933233618204,smooth5_top50,9,1,0.0,fake,8
vendor_11,-1.1578943389501075,0.0435842246480429,smooth20_top25,9,1,0.0,fake,9
vendor_08,-0.520613433360519,-0.07768629242804441,smooth20_top25,9,1,0.0,fake,10
vendor_07,-0.16641538968046332,-0.13516693571581925,smooth1_top25,9,1,0.0,fake,11
vendor_06,-0.5355315326073766,-0.1912825038153859,smooth5_top50,9,1,0.0,fake,12
vendor_00,2.637081216450395,2.749996984658057,smooth5_top25,9,2,0.05,REAL,1
vendor_01,1.9028355354762745,2.5753669358715734,smooth5_top25,9,2,0.04,REAL,2
vendor_02,1.426525030383816,2.0517546071404316,smooth5_all,9,2,0.03,REAL,3
vendor_03,0.6850938775135313,1.1242032619348261,smooth20_top50,9,2,0.025,REAL,4
vendor_04,0.6354172729585753,1.0271675054854406,smooth5_top25,9,2,0.01,REAL,5
vendor_08,0.16682923926486032,0.7408321272470441,smooth20_top25,9,2,0.0,fake,6
vendor_11,-0.47276787148037447,0.47960886379799955,smooth5_top25,9,2,0.0,fake,7
vendor_09,0.11251537690249748,0.355966700629384,smooth5_top50,9,2,0.0,fake,8
vendor_05,-0.36790305097252785,0.19876356773084214,smooth20_top25,9,2,0.0,fake,9
vendor_06,-0.6926565577462876,0.19831189165253604,smooth20_top50,9,2,0.0,fake,10
vendor_07,-0.40031170625018603,-0.06374918972472239,smooth20_all,9,2,0.0,fake,11
vendor_10,-0.6489070879748619,-0.18780738291349364,smooth20_top50,9,2,0.0,fake,12
vendor_01,2.143380696996443,2.143380696996443,smooth1_all,9,3,0.04,REAL,1
vendor_00,2.0678469613482053,2.0678469613482053,smooth1_all,9,3,0.05,REAL,2
vendor_02,1.393446345217271,1.648253310132651,smooth5_top50,9,3,0.03,REAL,3
vendor_03,1.2521866403375388,1.2799353739289303,smooth1_top25,9,3,0.025,REAL,4
vendor_11,0.7883815531486904,0.8034547678043291,smooth1_top50,9,3,0.0,fake,5
vendor_09,-0.27734433905411504,0.6450005017952708,smooth20_top25,9,3,0.0,fake,6
vendor_06,0.4890645828836351,0.577019479398859,smooth20_all,9,3,0.0,fake,7
vendor_08,0.20043370569307453,0.2687385007583146,smooth1_top25,9,3,0.0,fake,8
vendor_04,-0.05885856393651447,0.130144666066712,smooth20_all,9,3,0.01,REAL,9
vendor_07,-0.3337543517533712,-0.021219228297664653,smooth20_top25,9,3,0.0,fake,10
vendor_05,-0.2669883019139733,-0.02271412053411695,smooth5_top50,9,3,0.0,fake,11
vendor_10,-0.3166253501863046,-0.3166253501863046,smooth1_all,9,3,0.0,fake,12
vendor_00,1.6665535961359879,1.6867732982812107,smooth1_top50,9,4,0.05,REAL,1
vendor_01,1.6665535961359879,1.6867732982812107,smooth1_top50,9,4,0.04,REAL,2
vendor_02,1.4902958249697504,1.575175052016397,smooth20_top50,9,4,0.03,REAL,3
vendor_04,1.0102782544955553,1.523462592020907,smooth20_all,9,4,0.01,REAL,4
vendor_03,1.2221080043483286,1.4116862849366119,smooth20_all,9,4,0.025,REAL,5
vendor_07,0.6952432731858421,0.7129721904194676,smooth1_top25,9,4,0.0,fake,6
vendor_05,0.029913193164954336,0.6806316484415152,smooth20_all,9,4,0.0,fake,7
vendor_06,0.23120962967842246,0.4209942983703307,smooth5_top50,9,4,0.0,fake,8
vendor_09,0.2824251542286123,0.3292071451376093,smooth5_all,9,4,0.0,fake,9
vendor_08,0.004058988751434596,0.14158953299235774,smooth5_all,9,4,0.0,fake,10
vendor_11,-0.0013049585301564996,-0.0013049585301564996,smooth1_all,9,4,0.0,fake,11
vendor_10,-0.7180070449532566,-0.07756269782260303,smooth5_top25,9,4,0.0,fake,12
vendor_01,1.708180529457533,2.040044987628966,smooth20_all,9,5,0.04,REAL,1
vendor_00,1.7081805294575332,2.0400449876289657,smooth20_all,9,5,0.05,REAL,2
vendor_02,1.5960247880530507,2.036210731108902,smooth20_top25,9,5,0.03,REAL,3
vendor_03,1.1154706205595737,1.7996251361098847,smooth20_top25,9,5,0.025,REAL,4
vendor_04,0.7075076595568269,1.0878341552034512,smooth5_top50,9,5,0.01,REAL,5
vendor_11,0.17561560423620673,0.4615948791622057,smooth20_top50,9,5,0.0,fake,6
vendor_05,-0.45347948726698667,0.3235975659592958,smooth20_all,9,5,0.0,fake,7
vendor_07,-0.07160451039018714,0.2020349660175169,smooth20_top25,9,5,0.0,fake,8
vendor_06,0.141094260899777,0.141094260899777,smooth1_all,9,5,0.0,fake,9
vendor_09,0.10767636149733696,0.11967474099466631,smooth1_top25,9,5,0.0,fake,10
vendor_10,-0.25377888660791287,0.10525906105987841,smooth20_all,9,5,0.0,fake,11
vendor_08,-0.5744145031350663,-0.1940165308316627,smooth20_top50,9,5,0.0,fake,12
vendor_00,1.5783998737233325,1.8122627172328198,smooth5_top50,9,6,0.05,REAL,1
vendor_01,1.5783998737233325,1.8122627172328198,smooth5_top50,9,6,0.04,REAL,2
vendor_02,1.131671714719901,1.646118915004457,smooth5_top25,9,6,0.03,REAL,3
vendor_03,1.2228669369797922,1.6007406085504217,smooth5_top25,9,6,0.025,REAL,4
vendor_04,0.9575943985811779,1.0168916102122918,smooth1_top25,9,6,0.01,REAL,5
vendor_08,-0.4581691119834376,0.6813794861551127,smooth20_top50,9,6,0.0,fake,6
vendor_05,-0.09289864337001838,0.5735317717872139,smooth5_top25,9,6,0.0,fake,7
vendor_06,0.4823134337050936,0.5490072097960799,smooth1_top25,9,6,0.0,fake,8
