seed,accept_raw_fp,accept_raw_fn,accept_raw_weak_found,accept_raw_n,accept_bonf_fp,accept_bonf_fn,accept_bonf_weak_found,accept_bonf_n,accept_bh_fp,accept_bh_fn,accept_bh_weak_found,accept_bh_n,accept_dsr_fp,accept_dsr_fn,accept_dsr_weak_found,accept_dsr_n
0,0,0,True,5,0,1,False,4,0,1,False,4,0,1,False,4
1,0,1,False,4,0,2,False,3,0,1,False,4,0,2,False,3
2,0,0,True,5,0,2,False,3,0,0,True,5,0,0,True,5
3,0,1,False,4,0,2,False,3,0,1,False,4,0,1,False,4
4,0,0,True,5,0,0,True,5,0,0,True,5,0,0,True,5
5,0,0,True,5,0,1,False,4,0,0,True,5,0,0,True,5
6,0,0,True,5,0,1,False,4,0,0,True,5,0,1,False,4
7,1,1,False,5,0,5,False,0,1,1,False,5,1,4,False,2
8,2,0,True,7,0,1,False,4,2,0,True,7,0,1,False,4
9,0,1,False,4,0,2,False,3,0,1,False,4,0,2,False,3
10,0,0,True,5,0,1,False,4,2,0,True,7,0,1,True,4
11,1,1,False,5,0,2,False,3,1,1,False,5,0,2,False,3
12,0,1,False,4,0,2,False,3,0,1,False,4,0,1,False,4
13,0,0,True,5,0,5,False,0,0,0,True,5,0,4,True,1
14,2,0,True,7,0,5,False,0,2,0,True,7,0,3,True,2
15,2,0,True,7,0,2,True,3,2,0,True,7,0,0,True,5
16,0,1,False,4,0,5,False,0,0,1,False,4,0,1,False,4
17,0,1,False,4,0,2,False,3,0,1,False,4,0,1,False,4
18,0,1,False,4,0,5,False,0,0,1,False,4,0,1,False,4
19,0,1,False,4,0,1,False,4,0,1,False,4,0,1,False,4
20,0,1,False,4,0,3,False,2,0,1,False,4,0,2,False,3
21,0,1,False,4,0,3,False,2,0,1,False,4,0,5,False,0
22,0,1,False,4,0,3,False,2,0,1,False,4,0,2,False,3
23,1,1,False,5,0,2,False,3,1,1,False,5,0,1,False,4
24,0,0,True,5,0,2,False,3,0,0,True,5,0,0,True,5
25,0,0,True,5,0,2,False,3,0,0,True,5,0,2,False,3
26,1,1,False,5,0,2,False,3,1,1,False,5,0,1,False,4
27,0,0,True,5,0,2,False,3,0,0,True,5,0,0,True,5
28,0,1,False,4,0,5,False,0,0,1,False,4,0,5,False,0
29,0,1,False,4,0,1,False,4,0,1,False,4,0,1,False,4
30,0,0,True,5,0,2,False,3,0,0,True,5,0,1,False,4
31,0,1,False,4,0,5,False,0,0,1,False,4,0,1,False,4
32,0,1,False,4,0,2,False,3,0,1,False,4,0,1,False,4
33,0,0,True,5,0,5,False,0,0,0,True,5,0,5,False,0
