vendor,kind,agreement,best_partner,best_partner_name,n_peers_above_05,rank
vendor_05,mirror,0.30351928438175874,0.7668893698318227,vendor_06,6,1
vendor_06,mirror,0.273032398391918,0.7668893698318227,vendor_05,6,2
vendor_00,genuine,0.22181770540246606,0.3669779089257662,vendor_05,9,3
vendor_01,genuine,0.16128027891667174,0.2651711276520086,vendor_05,8,4
vendor_02,genuine,0.12038123987078286,0.18822550884639977,vendor_00,5,5
vendor_03,genuine,0.09692782031214377,0.13778294361466178,vendor_05,7,6
vendor_04,genuine,0.08598761180486203,0.11128164090881357,vendor_05,6,7
vendor_24,junk,0.06266193704406661,0.07072427879641717,vendor_07,8,8
vendor_07,junk,0.05499027991702717,0.07072427879641717,vendor_24,5,9
vendor_28,junk,0.05379830410896469,0.06369104936959491,vendor_24,4,10
vendor_14,junk,0.05238593280559322,0.0573709662605623,vendor_24,4,11
vendor_18,junk,0.05202819569637499,0.06967052408613135,vendor_24,3,12
vendor_11,junk,0.050844878902049605,0.06018957997353944,vendor_28,2,13
vendor_21,junk,0.04983334754206702,0.05539497404107609,vendor_11,2,14
vendor_16,junk,0.04947091609991496,0.05756760370241041,vendor_24,3,15
vendor_25,junk,0.04946860218778009,0.056947200049283504,vendor_24,2,16
vendor_23,junk,0.04883167084437886,0.04986587333311727,vendor_08,0,17
vendor_29,junk,0.0484413142691143,0.0548621186764868,vendor_12,3,18
vendor_20,junk,0.04816384810329302,0.055920256392904724,vendor_17,3,19
vendor_17,junk,0.04727381787311105,0.055920256392904724,vendor_20,1,20
vendor_19,junk,0.04681238139037425,0.050957913715798275,vendor_14,1,21
vendor_27,junk,0.046729524445189796,0.056268064650102645,vendor_07,1,22
vendor_08,junk,0.045627716510638155,0.05176712974101756,vendor_18,1,23
vendor_26,junk,0.04550224553706498,0.0498180610032062,vendor_14,0,24
vendor_09,junk,0.04442178980991765,0.051689050948260484,vendor_20,1,25
vendor_22,junk,0.04430630012634343,0.0479061461430036,vendor_28,0,26
vendor_15,junk,0.04403528626054934,0.048305255159636545,vendor_14,0,27
vendor_12,junk,0.04377579471591208,0.0548621186764868,vendor_29,1,28
vendor_13,junk,0.042154145299496903,0.043292960495212876,vendor_06,0,29
vendor_10,junk,0.04182235258473499,0.04647384758763337,vendor_17,0,30
